,Country,2019,2020,2021,2022,2023,2024
36,Mozambique,217.45132229003198,288.25894594244045,309.99969354294996,417.1753094156353,404.3991853360489,450.44858739359756
37,Namibia,414.0594899868339,368.22473888753944,400.1996345672329,365.63126876447234,339.4051318765356,362.3923042925503
38,Niger,247.63208284552817,238.26958833649013,202.40447720290214,242.5070463237587,331.9173103256951,435.88052248737233
39,Nigeria,1860.2604295613423,2567.917819043856,4466.397815795406,3109.384939123517,3101.259562897293,1133.303623276479
40,Rwanda,124.07335262689226,147.87373188727793,167.83780302392546,176.43166455758063,179.43300947733138,175.9243805853525
41,Senegal,356.82079602974954,345.6374789302657,483.22491309553004,421.013743846819,448.993705877196,514.941285308382
42,Seychelles,23.4962551154351,19.413071361940297,40.106698626587196,24.505837153757927,33.22626112759644,26.860869691808244
43,Sierra Leone,24.5577468422701,32.59916863959977,43.42785226444332,41.79580033538687,37.826350383725625,36.44704886254763
44,Somalia,71.72,98.1566,111.029,118.661,140.974,201.854
45,South Africa,3435.429787528549,3231.0177313577847,3392.816053059015,3247.390718212233,2876.466038913462,2835.9560432365183
46,South Sudan,186.49892522647013,128.91601412559498,213.22201750345465,520.445647167204,1076.1661292799017,2027.890373099954
47,Sudan,722.2561774207632,934.3111538035246,375.212619388697,...,...,...
48,Eswatini,86.53228597134749,76.79529997571046,82.79251539554714,83.20058048067726,70.513370260132,79.65526460814857
49,Tanzania,618.9434455681802,676.4100785396286,759.4925081210228,874.9790577188197,946.2498757414096,920.8498858687549
50,Togo,170.5668324350892,163.92687716127685,198.77324063523204,336.608323297713,276.3490766788107,195.34734922255186
51,Uganda,647.6066069308,984.7597316808692,1066.5643825295929,924.7558857022201,976.6609862433407,1116.7618287083249
52,Zambia,292.07246264612525,212.14242739156592,217.57724472933046,326.0787595981478,377.172056162625,349.668209787907
53,Zimbabwe,546.9389999999999,242.1795918367347,473.9452747252747,332.7173372781065,870.433537886873,98.39429271626754
54,Americas,,,,,,
55,Central America and the Caribbean,,,,,,
56,Belize,24.42495,26.025325,26.703375,27.8050375,30.5665875,30.1378
57,Costa Rica,0,0,0,0,0,0
58,Cuba,...,...,...,...,...,...
59,Dominican Republic,613.299023334698,599.0525253980835,611.467713114467,773.3603765162561,946.42577318119,980.991970499619
60,El Salvador,317.2,343.9,351.578,458.494,454.7666666666667,425.19999999999993
61,Guatemala,331.8825516434975,342.7664810257739,337.658309640734,441.37959509667115,437.6450038242065,415.18533403406803
62,Haiti,11.833075049811821,15.83488707148608,29.230408206595225,12.704528304212378,11.786377442106629,19.75109126232189
63,Honduras,392.63014033942557,341.210438870203,420.7669935183646,458.31072789077996,522.9608573826796,581.271651183095
64,Jamaica,266.0150745105094,236.86567164179098,217.57729917650454,220.5306510981991,230.3602183609181,262.5112699742309
65,Mexico,6650.808254067259,8044.880863737901,8680.832593469468,10065.268402781787,11825.909998032437,16726.425452093386
66,Nicaragua,76.93150684931507,79.34330960337063,77.9196503033963,84.21404786365383,98.59293650294244,105.26401630988785
67,Panama,0,0,0,0,0,0
